MFP Name,Updated PW(See LastPass.com),Model,Updated IP,Hostname (.resource.dyn.umd.edu),Post Migration IP,CNR Changes,Connected to Switch,Pharos Login Updated?,Marley for Scan To Email,Firewall Updated?,UBT ID #,Mac Address,Serial #,Bldg #,Bldg Name,Room,Contact Person,Toner Shipping Address,UBT Model Number
Architecture,,,,,,,,FALSE,FALSE,,,,,,,,,,
LIB-ArchCanonMFP1,Yes,Canon iR-ADV C3935i,10.204.9.224 ,Lib-ArchCanonMFP1,10.180.19.36,TRUE,No,TRUE,TRUE,,87015,40F8DF648FBA,4LM06825/4LM02761,145,Architecture Library,1102,Cynthia Frank ,,Unconfirmed MAC Address and Serial #
Art,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
LIB-ArtCanonMFP1,Yes,Canon iR-ADV C3935i,10.204.146.108 ,LIB-ArtCanonMFP1,10.180.14.219,TRUE,No,TRUE,TRUE,Temporarily Removed,87008,40F8DF649CA8,4LM07600,146,Art - Sociology,2213,Patricia Cossard ,,
Hornbake,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
LIB-MDRMCanonMFP1 / HBK_1F_PR1,Yes,Canon iR-ADV C3935i,10.204.147.74,LIB-MDRMCanonMFP1,10.181.237.28,TRUE,No,FALSE,TRUE,Temporarily Removed,86974,40F8DF649CA7,4LM07605,147,Hornbake - Maryland Room,1202,Amber Kohl ,,
LIB-HBKCanonMFP1,Yes,Canon iR-ADV C3935i,10.204.147.75 ,LIB-HBKCanonMFP1,10.181.1.246,TRUE,No,FALSE,TRUE,,86993,40F8DF65A0D9,4LM06958,147,Hornbake,Lobby,Amber Kohl,,
HBK_1F_PR2,Yes,Canon iR-ADV 4925i,10.205.3.12,HBK_1F_PR2,10.180.237.72,TRUE,no,FALSE,TRUE,Yes - UNCONFIRMED,86977,40F8DF63EF81,4PL04073,147,Hornbake ,1206,Amber Kohl,,
HBK_2F_PR1,Yes,Canon iR-ADV C3935i,10.205.3.13,HBK_2F_PR1,10.181.1.96,TRUE,no,FALSE,TRUE,Yes - UNCONFIRMED,86973,40F8DF65A0D7,4LM06948,147,Hornbake, 2208A,Douglas McElrath,,
HBK_2F_PR3,Yes,Canon iR-ADV 4925i,10.205.3.14,HBK_2F_PR3,10.181.20.53,TRUE,No,FALSE,TRUE,Yes - UNCONFIRMED,87003,40F8DF63EF79,4PL04081,147,Hornbake,2216,Joanne Archer,,
HBK_3F_PR1,Yes,Canon iR-ADV C3935i,10.205.3.15,HBK_3F_PR1,10.181.1.98,TRUE,No,FALSE,TRUE,Yes - UNCONFIRMED,86975,40F8DF6523B2,4LM06957,147,Hornbake, 3210F,Micahel Henry ,,86975
