"Name","Model","DriverName","PortAddress","Location","Comment","CurrentServerTarget","Status","Notes"
"ARCH_1F_PR2","Canon iR-ADV C3935i","Canon Generic Plus UFR II","LIB-ArchCanonMFP1.resource.dyn.umd.edu","Architecture Library - 1102","Staff MFP - direct IP","lib-archcanonmfp1.resource.dyn.umd.edu","Ready","Shared staff/public MFP - uses the public-facing hostname (same as print-server port). DDNS pending."
"ART_1F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","LIB-ArtCanonMFP1.resource.dyn.umd.edu","Art-Sociology Library - 2213","Staff MFP - direct IP","lib-artcanonmfp1.resource.dyn.umd.edu","Ready","Shared staff/public MFP - uses the public-facing hostname (same as print-server port). DDNS pending."
"EPL_1F_PR1","Canon iR-ADV 4925i","Canon Generic Plus UFR II","EPL_1F_PR1.resource.dyn.umd.edu","STEM Library - 1403L","Staff MFP - direct IP","10.204.146.3","NeedsInfo","Server queue is actually EPL_1F_PR1_BW (10.204.146.3) - old EPL_1F_PR1.ps1 points at a queue that does not exist. DDNS name does not resolve yet."
"HBK_1F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","LIB-MDRMCanonMFP1.resource.dyn.umd.edu","Hornbake - Maryland Room 1202","Staff MFP - direct IP","lib-mdrmcanonmfp1.resource.dyn.umd.edu","Ready","Shared staff/public MFP - uses the public-facing hostname (same as print-server port). DDNS pending."
"HBK_1F_PR2","Canon iR-ADV 4925i","Canon Generic Plus UFR II","HBK_1F_PR2.resource.dyn.umd.edu","Hornbake - 1206","Staff MFP - direct IP","hbk_1f_pr2.resource.dyn.umd.edu","Ready","DDNS resolves."
"HBK_2F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","HBK_2F_PR1.resource.dyn.umd.edu","Hornbake - 2208A","Staff MFP - direct IP","hbk_2f_pr1.resource.dyn.umd.edu","Ready","DDNS resolves."
"HBK_2F_PR3","Canon iR-ADV 4925i","Canon Generic Plus UFR II","HBK_2F_PR3.resource.dyn.umd.edu","Hornbake - 2216","Staff MFP - direct IP","hbk_2f_pr3.resource.dyn.umd.edu","Ready","DDNS resolves."
"HBK_3F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","HBK_3F_PR1.resource.dyn.umd.edu","Hornbake - 3210F","Staff MFP - direct IP","hbk_3f_pr1.resource.dyn.umd.edu","Ready","DDNS resolves."
"HBK_4F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","HBK_4F_PR1.resource.dyn.umd.edu","Hornbake - Prange 4200","Staff MFP - direct IP","hbk_4f_pr1.resource.dyn.umd.edu","Ready","DDNS resolves."
"HBK_4F_PR2","HP Color LaserJet Pro MFP M375/M475 series","HP Universal Printing PCL 6","HBK_4F_PR2.resource.dyn.umd.edu","Hornbake - 4th Floor","Staff printer - direct IP","10.205.3.17","Ready","HP (server driver: HP LJ300-400 color MFP M375-M475 PCL6 Class Driver) - using HP UPD. Room TBD (Location cosmetic). DDNS pending."
"MCK_1F_PR2","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_1F_PR2.resource.dyn.umd.edu","McKeldin - 1138","Staff MFP - direct IP","10.204.152.89","Ready","Static IP on server; DDNS pending."
"MCK_1F_PR3","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_1F_PR3.resource.dyn.umd.edu","McKeldin - 1138","Staff MFP - direct IP","10.204.152.16","Ready","DDNS pending."
"MCK_1F_PR4","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_1F_PR4.resource.dyn.umd.edu","McKeldin - 1109","Staff MFP - direct IP","10.204.152.17","Ready","DDNS pending."
"MCK_2F_PR2","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_2F_PR2.resource.dyn.umd.edu","McKeldin - 2200B","Staff MFP - direct IP","10.204.152.18","Ready","DDNS pending."
"MCK_2F_PR6","Canon (model unknown)","Canon Generic Plus UFR II","MCK_2F_PR6.resource.dyn.umd.edu","McKeldin - 2nd Floor","Staff MFP - direct IP","10.204.152.19","Ready","Not in inventory CSV (server: Canon Generic Plus UFR II @ 10.204.152.19). Model/room TBD (Location cosmetic). DDNS pending."
"MCK_3F_PR1","Canon iR-ADV 4925i","Canon Generic Plus UFR II","MCK_3F_PR1.resource.dyn.umd.edu","McKeldin - Stacks 3100J","Staff MFP - direct IP","10.204.152.20","Ready","DDNS pending."
"MCK_4F_PR1","Canon iR-ADV C5535i","Canon Generic Plus UFR II","MCK_4F_PR1.resource.dyn.umd.edu","McKeldin - 4th Floor","Staff MFP - direct IP","10.204.152.22","Ready","Room TBD (Location cosmetic). DDNS pending."
"MCK_4F_PR2","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_4F_PR2.resource.dyn.umd.edu","McKeldin - 4118","Staff MFP - direct IP","10.204.152.11","Ready","DDNS pending."
"MCK_4F_PR3","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_4F_PR3.resource.dyn.umd.edu","McKeldin - Public Service 4119","Staff MFP - direct IP","10.204.152.23","Ready","DDNS pending."
"MCK_5F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_5F_PR1.resource.dyn.umd.edu","McKeldin - Humanities 4233","Staff MFP - direct IP","10.204.152.24","Ready","DDNS pending. Inventory room 4233 on a 5F queue - confirm."
"MCK_6F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_6F_PR1.resource.dyn.umd.edu","McKeldin - Dean's Area 6131","Staff MFP - direct IP","10.204.152.25","Ready","DDNS pending."
"MCK_6F_PR2","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_6F_PR2.resource.dyn.umd.edu","McKeldin - Budget Office 5101D","Staff MFP - direct IP","10.204.152.26","Ready","DDNS pending. Inventory room 5101D on a 6F queue - confirm."
"MCK_6F_PR4","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_6F_PR4.resource.dyn.umd.edu","McKeldin - Graphics 6115","Staff MFP - direct IP","10.204.152.27","Ready","DDNS pending."
"MCK_7F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_7F_PR1.resource.dyn.umd.edu","McKeldin - HR 7109","Staff MFP - direct IP","10.204.152.28","Ready","DDNS pending."
"MCK_BF_PR2","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_BF_PR2.resource.dyn.umd.edu","McKeldin - B0116","Staff MFP - direct IP","10.204.152.12","Ready","DDNS pending."
"MCK_BF_PR3","Canon iR-ADV C3935i","Canon Generic Plus UFR II","MCK_BF_PR3.resource.dyn.umd.edu","McKeldin - Preservation B0217","Staff MFP - direct IP","10.204.152.13","Ready","DDNS pending."
"MCK_BF_PR5","Canon iR-ADV 4925i","Canon Generic Plus UFR II","MCK_BF_PR5.resource.dyn.umd.edu","McKeldin - B0236","Staff MFP - direct IP","10.204.152.14","Ready","DDNS pending."
"PAL_1F_PR1","Canon iR-ADV 4925i","Canon Generic Plus UFR II","PAL_1F_PR1.resource.dyn.umd.edu","Performing Arts - Behind Circ Desk","Staff MFP - direct IP","10.204.147.140","Ready","DDNS pending."
"PAL_1F_PR2","Canon iR-ADV C3935i","Canon Generic Plus UFR II","PAL_1F_PR2.resource.dyn.umd.edu","Performing Arts - 1517C","Staff MFP - direct IP","10.204.147.141","Ready","DDNS pending. Inventory says '3935i'; 4LM serial prefix = C3935i."
"PAL_2F_PR1","Canon iR-ADV C3935i","Canon Generic Plus UFR II","PAL_2F_PR1.resource.dyn.umd.edu","Performing Arts - 2511 Admin Suite","Staff MFP - direct IP","10.204.147.142","Ready","DDNS pending. Inventory says '3935i'; 4LM serial prefix = C3935i."
